Name,Price,Currency,SKU,Scrape date,Category,Raw text,Image Urls,Link
Seychelles 75th Anniversary of U.P.U.,2.00,USD,100511,2019-06-28,"75th Anniversary of U.P.U., Seychelles, Stamps","
1949 75th Anniversary of U.P.U. SG 154/7. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100511.jpg,https://kentonphilatelics.com/product/seychelles-75th-anniversary-of-u-p-u/
Seychelles Coronation,2.50,USD,100442,2019-06-28,"1937 Coronation, Seychelles, Stamps","
1937 Coronation. SG 132/4. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100442.jpg,https://kentonphilatelics.com/product/seychelles-coronation/
Sierra Leone £1 Silver Wedding,15.00,USD,100433,2019-06-28,"Royal Silver Wedding, Sierra Leone, Stamps","
1948 £1 Royal Silver Wedding. SG 204. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100433.jpg,https://kentonphilatelics.com/product/sierra-leone-1-silver-wedding/
Sierra Leone 75th Anniversary of U.P.U.,2.50,USD,100512,2019-06-28,"75th Anniversary of U.P.U., Sierra Leone, Stamps","
1949 75th Anniversary of U.P.U. SG 205/8. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100512.jpg,https://kentonphilatelics.com/product/sierra-leone-75th-anniversary-of-u-p-u/
Sierra Leone Coronation,2.50,USD,100443,2019-06-28,"1937 Coronation, Sierra Leone, Stamps","
1937 Coronation. SG 185/7. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100443.jpg,https://kentonphilatelics.com/product/sierra-leone-coronation/
Sierra Leone Silver Wedding,16.00,USD,100432,2019-06-28,"Royal Silver Wedding, Sierra Leone, Stamps","
1948 Royal Silver Wedding. SG 203/4. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100432.jpg,https://kentonphilatelics.com/product/sierra-leone-silver-wedding/
Queen Elizabeth II Definitives,20.00,USD,100583,2019-06-28,"Somaliland, Stamps","
1953-58 Queen Elizabeth II Definitives. SG 137/48. Mint Hinged 
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100583.jpg,https://kentonphilatelics.com/product/queen-elizabeth-ii-definitives-14/
250th Anniversary of Huguenot Landing,30.00,USD,100581,2019-06-28,"South Africa, Stamps","
1939 250th Anniversary of Huguenot Landing. SG 82/4. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100581.jpg,https://kentonphilatelics.com/product/250th-anniversary-of-huguenot-landing/
South Africa 75th Anniversary of U.P.U.,1.00,USD,100516,2019-06-28,"75th Anniversary of U.P.U., South Africa, Stamps","
1949 75th Anniversary of U.P.U. SG 128/30. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100516.jpg,https://kentonphilatelics.com/product/south-africa-75th-anniversary-of-u-p-u/
Wildlife,11.00,USD,100584,2019-06-28,"South Africa, Stamps","
1961 Wildlife. SG 185/97. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100584.jpg,https://kentonphilatelics.com/product/wildlife/
1961-63 Pictorial Definitives,35.00,USD,100585,2019-06-28,"South West Africa, Stamps","
1961-63 Pictorial Definitives. SG 171/85 Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100585.jpg,https://kentonphilatelics.com/product/1961-63-pictorial-definitives/
250th Anniversary of Huguenot Landing,30.00,USD,100586,2019-06-28,"South West Africa, Stamps","
1939 250th Anniversary of Huguenot Landing. SG 111/3. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100586.jpg,https://kentonphilatelics.com/product/250th-anniversary-of-huguenot-landing-2/
South West Africa 75th Anniversary of U.P.U.,2.00,USD,100517,2019-06-28,"75th Anniversary of U.P.U., South West Africa, Stamps","
1949 75th Anniversary of U.P.U. SG 138/40. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100517.jpg,https://kentonphilatelics.com/product/south-west-africa-75th-anniversary-of-u-p-u/
Queen Elizabeth II Definitives,25.00,USD,100587a,2019-06-28,"Stamps, Swaziland","
1962-64 Queen Elizabeth II Definitives. SG 90/105. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100587a.jpg,https://kentonphilatelics.com/product/queen-elizabeth-ii-definitives-15/
Swaziland 75th Anniversary of U.P.U.,2.00,USD,100519,2019-06-28,"75th Anniversary of U.P.U., Stamps, Swaziland","
1949 75th Anniversary of U.P.U. SG 48/51. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100519.jpg,https://kentonphilatelics.com/product/swaziland-75th-anniversary-of-u-p-u/
Swaziland Coronation,1.00,USD,100445,2019-06-28,"1937 Coronation, Stamps, Swaziland","
1937 Coronation. SG 25/7. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100445.jpg,https://kentonphilatelics.com/product/swaziland-coronation/
Swaziland Silver Wedding,33.00,USD,100434,2019-06-28,"Royal Silver Wedding, Stamps, Swaziland","
1948 Royal Silver Wedding. SG 46/7. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100434.jpg,https://kentonphilatelics.com/product/swaziland-silver-wedding/
Edward VII. Watermark Crown CA. Variety: Dented Frame,200.00,USD,100669,2019-06-28,"Gambia, Other Countries, Stamps","
1902 6d Edward VII. Watermark Crown CA. Variety: Dented Frame. SG 51a. Mint Hinged
","https://kentonphilatelics.com/wp-content/uploads/1970/01/Kenton-Stamps-Gambia-Edward-VII-dented-frame-100669.jpg,https://kentonphilatelics.com/wp-content/uploads/2019/03/Kenton-Stamps-Gambia-Edward-VII-dented-frame-100669a.jpg",https://kentonphilatelics.com/product/edward-vii-watermark-crown-ca-variety-dented-frame/
Gambia 75th Anniversary of U.P.U.,2.00,USD,100494,2019-06-28,"75th Anniversary of U.P.U., Gambia, Stamps","
1949 75th Anniversary of U.P.U. SG 166/9. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100494.jpg,https://kentonphilatelics.com/product/gambia-75th-anniversary-of-u-p-u/
Gambia Silver Wedding,17.00,USD,100407,2019-06-28,"Commonwealth Omnibus, Gambia, Royal Silver Wedding, Stamps","
1948 Royal Silver Wedding. SG 164/5. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/100407.jpg,https://kentonphilatelics.com/product/gambia-silver-wedding/
